Accessibility,20,Omboparaa Regua,21,gnome-menus,po/gn.po
Accessibility Settings,24,Omboporaa Rerowa Rowaa,25,gnome-menus,po/gn.po
Accessories,28,Nhamba'eapoa Pygua,29,gnome-menus,po/gn.po
Desktop accessories,32,Nhamba'eapoa Regua,33,gnome-menus,po/gn.po
Applications,36,Enhepynru Apy,37,gnome-menus,po/gn.po
Desktop,40,Nhamba'eapoa,41,gnome-menus,po/gn.po
Personal preferences and administration settings,44,Mba'emon Nhamoia,45,gnome-menus,po/gn.po
Programming,48,Jaja Poa,49,gnome-menus,po/gn.po
Tools for software development,52,Jaja Poa,53,gnome-menus,po/gn.po
Education,56,Arandu,57,gnome-menus,po/gn.po
Games,60,Jaugaa,61,gnome-menus,po/gn.po
Games and amusements,64,Jaugaty,65,gnome-menus,po/gn.po
Graphics,68,Baemo Ra'angaa Jajapoa,69,gnome-menus,po/gn.po
Graphics applications,72,Baemo Ra'angaa Jajapoa Oia,73,gnome-menus,po/gn.po
Internet,76,Kya,77,gnome-menus,po/gn.po
Programs for Internet access such as web and email,80,Kya Py Reike Awã Regua,81,gnome-menus,po/gn.po
Multimedia menu,84,"Baemo Jaexaa, Nhaendua",85,gnome-menus,po/gn.po
Sound & Video,88,"Jaexaa, Porai Nhaendua",89,gnome-menus,po/gn.po
Office,92,Nhamboparaa Regua,93,gnome-menus,po/gn.po
Office Applications,96,Jaekaa Omboparaa,97,gnome-menus,po/gn.po
Applications that did not fit in other categories,100,Amboae Regua Jaekaa,101,gnome-menus,po/gn.po
Other,104,Amboae,105,gnome-menus,po/gn.po
Personal preferences,108,Rowapy Jarowa Rowaa,109,gnome-menus,po/gn.po
Preferences,113,Maranmi Reipota,114,gnome-menus,po/gn.po
Accessibility related preferences,117,Preferências relativas à acessibilidade,118,gnome-menus,po/gn.po
Personal preferences and settings,121,Preferências e configurações pessoais,122,gnome-menus,po/gn.po
Administration,125,Nhambotea Regua,126,gnome-menus,po/gn.po
_Applications:,149,_Enhepynru Apy:,150,gnome-menus,po/gn.po
_Menus:,157,_Eka Apy:,158,gnome-menus,po/gn.po
Name,162,Derery,163,gnome-menus,po/gn.po
Show,166,Oexaukaa,167,gnome-menus,po/gn.po
Menu file,174,Oekaa Regua Omoin Porãa,175,gnome-menus,po/gn.po
MENU_FILE,178,OEKAA REGUA OMOIN PORÃA,179,gnome-menus,po/gn.po
