_Password:,33,_Beassansátni:,34,simple-scan,po/se.po
Front,43,Ovdabealli,44,simple-scan,po/se.po
Back,48,Maŋos,49,simple-scan,po/se.po
_Document,59,_Dokumeanta,60,simple-scan,po/se.po
Text,91,Teaksta,92,simple-scan,po/se.po
Photo,95,Fotografiija,96,simple-scan,po/se.po
_Email,106,_E-boasta,107,simple-scan,po/se.po
_Crop,126,_Čuohpa,127,simple-scan,po/se.po
Move Right,181,Sirdde olgešguvlui,182,simple-scan,po/se.po
_Help,186,_Veahkki,187,simple-scan,po/se.po
New,200,Ođđa,201,simple-scan,po/se.po
Scan,210,Oza,211,simple-scan,po/se.po
Save,219,Vurke,220,simple-scan,po/se.po
Stop,228,Bisset,229,simple-scan,po/se.po
Rotate Right,248,Jorat olgešguvlui,249,simple-scan,po/se.po
Preferences,261,Oidimat,262,simple-scan,po/se.po
Save As...,420,Vurke nugo …,421,simple-scan,po/se.po
All Files,443,Buot fiillat,444,simple-scan,po/se.po
About Simple Scan,551,Simple Scan-dieđut,552,simple-scan,po/se.po
Automatic,717,Automáhtalaš,718,simple-scan,po/se.po
