Video,34,Авидио,35,cheese,po/ab.po
Books,22,Ашәҟәқәа,23,gnome-books,po/ab.po
An e-book manager application for GNOME,26,GNOME аҟны аелектронтә ашәҟәқәа шәхы иашәырхәаларц азы аԥшьы,27,gnome-books,po/ab.po
_Copy Character,23,_Асимвол ахкьыҧхьаара,24,gnome-characters,po/ab.po
Unicode,27,Иуникод,28,gnome-characters,po/ab.po
_See Also,31,_Насгьы шәахәаҧш,32,gnome-characters,po/ab.po
Recently Used,35,Ааигәа шәхы иашәырхәахьоу,36,gnome-characters,po/ab.po
Smileys & Emotion,43,Ақьачақьқәеи аемоциақәеи,44,gnome-characters,po/ab.po
People & Body,47,Ауааи ацәеижьи,48,gnome-characters,po/ab.po
Animals & Nature,51,Аҧсаатәқәеи аҧсабареи,52,gnome-characters,po/ab.po
Food & Drink,55,Афатәи ажәтәи,56,gnome-characters,po/ab.po
Travel & Places,59,Аныҟәареи аҭыҧқәеи,60,gnome-characters,po/ab.po
Activities,63,Аҽазыҟаҵарақәа,64,gnome-characters,po/ab.po
Objects,67,Аобиект,68,gnome-characters,po/ab.po
Symbols,71,Асимвол,72,gnome-characters,po/ab.po
Flags,75,Абираҟқәа,76,gnome-characters,po/ab.po
Letters & Symbols,79,Анбанқәеи асимволқәеи,80,gnome-characters,po/ab.po
Punctuation,83,Апунктуациа,84,gnome-characters,po/ab.po
Arrows,87,Ахыцқәа,88,gnome-characters,po/ab.po
Bullets,91,Амаркерқәа,92,gnome-characters,po/ab.po
Pictures,95,Асахьақәа,96,gnome-characters,po/ab.po
Currencies,99,Авалиутақәа,100,gnome-characters,po/ab.po
Math,103,Аматематика,104,gnome-characters,po/ab.po
Letters,107,Анбанқәа,108,gnome-characters,po/ab.po
General,112,Зегьы ирзаку,113,gnome-characters,po/ab.po
Open menu,117,Амениу аартара,118,gnome-characters,po/ab.po
Search,122,Аҧшаара,123,gnome-characters,po/ab.po
Keyboard shortcuts,127,Арыдқәа реилаҵа,128,gnome-characters,po/ab.po
Quit,132,Аҭыҵра,133,gnome-characters,po/ab.po
_Keyboard Shortcuts,136,_Ицоу арыдқәа,137,gnome-characters,po/ab.po
_About Characters,140,_Асимволқәа ирызкны,141,gnome-characters,po/ab.po
Characters,145,Асимволқәа,146,gnome-characters,po/ab.po
No Recent Characters,149,Аҵыхәтәантәи асимволқәа ыҟаӡам,150,gnome-characters,po/ab.po
Characters will appear here if you use them.,153,Араҟа иарбахоит лассы шәхы иашәырхәо асимволқәа,154,gnome-characters,po/ab.po
No Results,157,Аалҵшәақәа ыҟаӡам,158,gnome-characters,po/ab.po
Try a different search.,161,Шәхы иашәырхәа егьырҭ аҧшаарқәа,162,gnome-characters,po/ab.po
Loading…,165,Аҭагалара...,166,gnome-characters,po/ab.po
Character map application,169,Асимволқәа рыхсаала аҧшьы,170,gnome-characters,po/ab.po
Characters is a simple utility application to find and insert unusual characters. It allows you to quickly find the character you are looking for by searching for keywords.,173,Асимволқәа-ари имариоу ҧшьуп иалукааша асимволқәа рыҧшаареи аҭагалареи рзыУи ишәнаҭоит алшара ишәҭаху асимвол иаарццакны аҧшаара ихадоу ажәақәа рыла,177,gnome-characters,po/ab.po
"You can also browse characters by categories, such as Punctuation, Pictures, etc.",181,"Насгьы асимволқәа шәрышьҭаларц шәылшоит хкыла,иаҳҳәап, апунктуациа адыргақәа, асахьақәа.",184,gnome-characters,po/ab.po
Utility application to find and insert unusual characters,187,Имариоу аԥшьы иалукааша асимволқәа рыԥшаареи рҭагалареи рзы,188,gnome-characters,po/ab.po
characters;unicode;punctuation;math;letters;emoji;emoticon;symbols;,192,Асимволқәа;иуникод;апунктуациа;аматематика;анбанқәа;ақьачақьқәа;emoji;emoticon;,193,gnome-characters,po/ab.po
%s is not included in %s,198,%s арбаӡам %s аҟны ,199,gnome-characters,po/ab.po
Character copied to clipboard,202,Асимвол хкыҧхьаауп иаҭныҧсахлара абуфер ахь,203,gnome-characters,po/ab.po
Unassigned,206,Иазкӡам,207,gnome-characters,po/ab.po
Unknown character name,210,Асимвол ахьӡ еилкааӡам,211,gnome-characters,po/ab.po
%s Sidebar Row,220,%s Аварахьтәи аҵҟьа ацәаҳәа,221,gnome-characters,po/ab.po
Search Result,224,Алҵшәа аҧшаара ,225,gnome-characters,po/ab.po
GNOME Characters,234,GNOME асимволқәа,235,gnome-characters,po/ab.po
Character Map,238,Асимволқәа рыхсаала,239,gnome-characters,po/ab.po
Match tiles and clear the board,24,"Еиԥшқәоу акамаҭелқәа  алхны,аҭӡамц шәрыцқьа",25,gnome-mahjongg,po/ab.po
